출발지,도착지,소요시간(분)
도쿄 스카이트리,리쿠기엔,36.0
도쿄 스카이트리,롯폰기 힐스,34.0
도쿄 스카이트리,레인보우 브리지,52.0
도쿄 스카이트리,나카미세도리,6.0
도쿄 스카이트리,간다 신사 (간다 묘진),22.0
도쿄 스카이트리,스미다 공원,5.0
도쿄 스카이트리,오다이바 해변공원,44.0
도쿄 스카이트리,모리 타워,36.0
도쿄 스카이트리,도쿄역,21.0
도쿄 스카이트리,도쿄돔,25.0
도쿄 스카이트리,도쿄 돔시티,24.0
도쿄 스카이트리,호피 거리,9.0
도쿄 스카이트리,아사쿠사 신사,7.0
도쿄 스카이트리,도쿄도 현대미술관,17.0
도쿄 스카이트리,긴자 식스,21.0
도쿄 스카이트리,도쿄 대학,29.0
도쿄 스카이트리,도쿄 빅사이트,50.0
도쿄 스카이트리,도쿄 국립 박물관,27.0
도쿄 스카이트리,조죠지,29.0
도쿄 스카이트리,시바 공원,29.0
도쿄 스카이트리,우에노 공원,19.0
도쿄 스카이트리,Shibuya Scramble Crossing,31.0
도쿄 스카이트리,신주쿠 교 엔,34.0
도쿄 스카이트리,도쿄 조이 폴리스,47.0
도쿄 스카이트리,킷데 마루노우치,21.0
도쿄 스카이트리,오모테산도 힐즈,32.0
도쿄 스카이트리,네즈 미술관,36.0
도쿄 스카이트리,아메요코 쇼핑가,26.0
도쿄 스카이트리,모리 미술관,39.0
도쿄 스카이트리,Tokyo Station Gallery,24.0
도쿄 스카이트리,Street Kart Tokyo Bay,42.0
도쿄 스카이트리,쓰키시마 몬자거리,19.0
도쿄 스카이트리,사쿠라 포토 스튜디오,9.0
도쿄 스카이트리,하네다국제공항,36.0
도쿄 스카이트리,도쿄 소라마치,0.0
도쿄 스카이트리,미쓰비시1호관미술관,23.0
도쿄 스카이트리,도쿄도 미술관,23.0
도쿄 스카이트리,다이마루 백화점 도쿄점,24.0
도쿄 스카이트리,미타카의 숲 지브리 미술관,65.0
도쿄 스카이트리,도쿄 국립 근대 미술관,24.0
도쿄 스카이트리,빅카메라 유라쿠초점,26.0
도쿄 스카이트리,네즈신사,29.0
도쿄 스카이트리,센가쿠 절,29.0
도쿄 스카이트리,쓰키지 수산시장,24.0
도쿄 스카이트리,스파 라쿠아,29.0
도쿄 스카이트리,도쿄 미드타운,37.0
도쿄 스카이트리,국립 서양 미술관,19.0
도쿄 스카이트리,도호 시네마즈 신주쿠,42.0
도쿄 스카이트리,신주쿠 골든 거리,39.0
도쿄 스카이트리,하마리큐 은사정원,28.0
도쿄 스카이트리,Shibuya Center-Street,32.0
도쿄 스카이트리,시나가와 수족관,50.0
도쿄 스카이트리,맥셀 아쿠아 파크 시나가와,33.0
도쿄 스카이트리,오다이바 자유의 여신상,45.0
도쿄 스카이트리,도쿄만 아쿠아라인 우미호타루,93.0
도쿄 스카이트리,구 이와사키 저택 정원,22.0
도쿄 디즈니랜드,도쿄 타워,45.0
도쿄 디즈니랜드,메이지 신궁,45.0
도쿄 디즈니랜드,메이지 신궁 외원,45.0
도쿄 디즈니랜드,도쿄 스카이트리,40.0
도쿄 디즈니랜드,센소지사,41.0
도쿄 디즈니랜드,고쿄 히가시 교엔,31.0
도쿄 디즈니랜드,도쿄 디즈니씨,7.0
도쿄 디즈니랜드,도쿄도청 전망대,52.0
도쿄 디즈니랜드,에도도쿄건축정원,83.0
도쿄 디즈니랜드,센소지 가미나리몬,38.0
도쿄 디즈니랜드,도쿄 국립신미술관,42.0
도쿄 디즈니랜드,시부야 스카이,40.0
도쿄 디즈니랜드,야나카긴자,41.0
